id,song,artist,album,year,i,j,k,disruption
"18097","05 - Como posso te esquecer.mp3", "Mastruz com Leite","[1997] - Mastruz com Leite - 1997 - Vol. 12 - Mulher (Forró em vinil)","1997",1,13,769,-0.015326
"3280","04 Novim em folha.mp3", "Trio Nortista","[1971] - Trio Nortista - 1971 - Encontrei tú (Forró em vinil)","1971",4,13,570,-0.015332
"638","10 Rancheira do Paraná.mp3", "Adolfinho","[1961] - Adolfinho - 1961 - Adolfo e sua 8 Baixos (forró em vinil)","1961",13,14,38,-0.015385
"14743","08 - Não Vem Que Não Tem.mp3", "Sirano","[1990] - Sirano - 1990 - Arretado (Forró em vinil)","1990",4,10,374,-0.015464
"10046","06 estou querendo.mp3", "Negrão dos oito baixos","[1982] - 1982 - Negrão dos oito baixos - Só dou castigo (Forró em vinil)","1982",1,13,760,-0.015504
"6346","x02 - Forró do Caruaru.mp3", "Gerson Filho","[1977] - 1977 - Gerson Filho - 8 Baixos Brasileiros - Vol. 09 (Forró em vinil)","1977",3,12,558,-0.015707
"2038","03 Coisas da vida.mp3", "Sebastião do Rojão","[1967] - Sebastião do Rojão - 1967 - Coisas da vida (Forró em vinil)","1967",2,5,182,-0.015873
"5875","11 - amanhecendo.mp3", "Banda de Pau de Corda","[1976] - Banda de Pau de Corda - 1976 - Assim amém (Forró em vinil)","1976",2,7,305,-0.015924
"22919","06 Do jeito que a gente quer.mp3", "Sotaque do Nordeste","[2008] - Sotaque do Nordeste - 2008 - Pra xamegar (Forró em vinil)","2008",1,10,554,-0.015929
"17871","07 - Jogo de Cintura.mp3", "Paulo Ney","[1996] - Paulo Ney - 1996 - Forrózão do Paulo Ney (Forró em vinil)","1996",5,18,792,-0.015951
"13314","10 Pecado.mp3", "Nando Cordel","[1987] - Nando Cordel - 1987 - Folia brasileira (Forró em vinil)","1987",5,8,174,-0.016043
"10547","04 forró da zita.mp3", "Reinaldo Silva","[1982] - Reinaldo Silva - 1982 - Pernambucano de fibra (Forró em vinil)","1982",12,19,405,-0.016055
"8660","05 - Nos baixos também se brinca.mp3", "Genário","[1980] - Genário - 1980 - Na penumbra do fifó (Forró em vinil)","1980",3,14,667,-0.016082
"12951","12 Calouro teimoso.mp3", "Gordurinha","[1987] - 1987 - Gordurinha - Súplica cearense (Forró em vinil)","1987",8,9,45,-0.016129
"15265","12 Vivendo por viver.mp3", "Joãozinho do Exu","[1992] - 1992 - Joãozinho do Exu - Saudade de tu (Forró em vinil)","1992",2,8,362,-0.016129
"9536","03 Volte amor.mp3", "Jorge Paulo","[1981] - Jorge Paulo - 1981 - Meu mandato é você (Forró em vinil)","1981",2,8,359,-0.016260
"15619","03 Chorando por alguem.mp3", "Trio Nordestino","[1992] - Trio Nordestino - 1992 - Vale a pena ouvir de novo Vol.2 (Forró em vinil)","1992",2,11,538,-0.016334
"2148","06 Iêiêiê sertanejo.mp3", "Alventino Cavalcanti","[1968] - Alventino Cavalcanti - 1968 - E muita cantiga nordestina (Forró em vinil)","1968",4,12,472,-0.016393
"9054","12. Forró do Zé Boquinha.mp3", "Zé Alves","[1980] - Zé Alves - 1980 - Falsidade (Forró em vinil)","1980",1,11,598,-0.016393
"22791","15 - No Cantinho da Parede.mp3", "Luizinho Calixto","[2008] - Luizinho Calixto - 2008 - Discoteca do Calixto (Forró em vinil)","2008",1,16,895,-0.016447
"9739","06 São João no casador.mp3", "Os 3 do nordeste","[1981] - Os 3 do nordeste - 1981 - O melhor forró do mundo (forró em vinil)","1981",1,4,177,-0.016484
"15153","10 Faixa 10.mp3", "Tacyo Carvalho","[1991] - Tacyo Carvalho - 1991 - Estação do amor (Forró em vinil)","1991",1,4,177,-0.016484
"8666","06. Descarrilhando.mp3", "Hélcio Brenha","[1980] - Hélcio Brenha - 1980 - e o forró do chapéu virado - vol. 2 (Forró em vinil)","1980",2,4,115,-0.016529
"12388","03 Faixa 3.mp3", "Trio virgulino","[1986] - 1986 - Trio virgulino - Beijo moreno (Forró em vinil)","1986",7,11,222,-0.016667
"2316","12 Matei Sete Gatos.mp3", "Trio Mossoró","[1968] - Trio Mossoró - 1968 - Rua do namoro (Forró em vinil)","1968",3,4,53,-0.016667
"22914","09 Menina Dos Olhos Do Mar.mp3", "Santanna O Cantador","[2008] - Santanna O Cantador - 2008 - A Arte do Abraço (Forró em vinil)","2008",2,11,524,-0.016760
"13989","05 Encanto.mp3", "Alcymar Monteiro","[1989] - 1989 - Alcymar Monteiro - Pirilampos (Forró em vinil)","1989",1,4,174,-0.016760
"7841","04 casório bahiano.mp3", "Genival Lacerda","[1979] - Genival Lacerda - 1979 - Genival Lacerda (forró em vinil)","1979",1,5,232,-0.016807
"12584","08. Só sei te querer.mp3", "Hermelinda","[1986] - Hermelinda - 1986 - Forró verdadeiro (Forró em vinil)","1986",6,9,163,-0.016854
"12090","07 Terreiros de Belém.mp3", "Messias Holanda","[1985] - Messias Holanda - 1985 - Coma ovo (Forró em vinil)","1985",7,13,335,-0.016901
"6980","03 Chuva caiu.mp3", "Marinalva","[1978] - 1978 - Marinalva - Tardes nordestinas (Forró em vinil)","1978",1,14,753,-0.016927
"959","02 WALDICK SORIANO - Paraquedista.mp3", "Waldick Soriano","[1962] - Waldick Soriano - 1962 - Sua Majestade a 8 Baixos (Forró em vinil)","1962",11,18,381,-0.017073
"12435","03 Festa na roça.mp3", "Arrebentando a boca do balão","[1986] - Arrebentando a boca do balão - 1986 (Forró em vinil)","1986",3,7,224,-0.017094
"1808","12-VIZINHA IMPERTINENTE.mp3", "Anastácia","[1967] - Anastácia - 1967 - Anastácia canta para o Nordeste (Forró em vinil)","1967",6,9,160,-0.017143
"2648","03. Assim preto.mp3", "Águias do norte","[1969] - Águias do norte - 1969 - Águias do norte (Forró em vinil)","1969",4,8,220,-0.017241
"20211","16 Cair na Brincadeira.mp3", "Adelmário Coelho","[2002] - Adelmário Coelho - 2002 - Visita ao Trio Nordestino 1 (Forró em vinil)","2002",2,12,564,-0.017301
"20826","11-Menino Chorão_Coração Que Ama_Amor de Verdade.mp3", "Flávio José","[2003] - Flávio José - 2003 - Acústico (Forró em vinil)","2003",5,17,664,-0.017493
"12258","10 - Você é Minha Rosa.mp3", "Trio Cajueiro","[1985] - Trio Cajueiro - 1985 - Bicho bom, quem não quer (Forró em vinil)","1985",1,8,385,-0.017766
"7922","01 orélia.mp3", "Luiz Gonzaga","[1979] - Luiz Gonzaga - 1979 - Eu e meu pai (Forró em vinil)","1979",1,10,494,-0.017822
"1791","08 Eu preciso namorar.mp3", "Gordurinha","[1967] - 1967 - Gordurinha - Súplica cearense (Forró em vinil)","1967",9,10,37,-0.017857
"18051","14 - Corno Diferente.mp3", "Jerimum","[1997] - Jerimum - 1997 - Diferente (Forró em vinil)","1997",2,5,161,-0.017857
"14738","01 - Milonga para as Missões.mp3", "Renato Borghetti","[1990] - Renato Borghetti - 1990 - O melhor de Renato Borghetti (Forró em vinil)","1990",1,2,53,-0.017857
"17877","11 Sonhos e Segredos.mp3", "Rabo de Saia","[1996] - Rabo de Saia - 1996 - Eu Bebo Porque Gosto (Forró em vinil)","1996",1,12,598,-0.018003
"1264","03 - A Volta da Asa Branca-Baião da Garôa-Mulher Rendeira.mp3", "Julinho","[1964] - Julinho - 1964 - Relembrando o nordeste (Forró em vinil)","1964",8,10,93,-0.018018
"13384","09 Todos fungando.mp3", "Ozeinha du xaxado","[1987] - Ozeinha du xaxado - 1987 - O passarinho que voa muito (Forró em vinil)","1987",1,2,52,-0.018182
